,method,variant,prev_balance,balance,prev_memsize,memsize,https outcalls,request_sizes,response_sizes,payments [cycles],instructions count
63,setup,,3091874528946,2969674603377,3118895,51156783,74,[61],"[653, 40, 3874, 54254, 57122, 4882, 2464, 417883, 761514, 417883, 396270, 177934, 61, 287297, 196116, 451028, 360231, 592710, 155909, 125344, 246761, 165442, 608693, 536182, 388619, 389260, 358191, 1343840, 348452, 345471, 415104, 166458, 176166, 179943, 324733, 171741, 192973, 200109, 214803, 490414, 414374, 159246, 196191, 284652, 273328, 187492, 161268, 286864, 365203, 509745, 416074, 535972, 330808, 663259, 761679, 321847, 587517, 355319, 577465, 295236, 323791, 608505, 201360, 318123, 626207, 565524, 324917, 510944, 608166, 334299, 482832, 436746, 539964]",122175247279,793060079
64,setup,redirect,3091874529229,2852910669985,3118895,52533039,147,[61],"[651, 40, 3874, 54260, 57122, 4870, 2446, 351202, 207348, 351202, 641486, 139191, 61, 642770, 838589, 61, 190935, 197005, 166822, 163967, 220494, 236544, 194782, 209406, 466535, 61, 189741, 162232, 395047, 274410, 229172, 315621, 296222, 482983, 496677, 394961, 266775, 227721, 590674, 205289, 207581, 190953, 359223, 502103, 462996, 392290, 432264, 253906, 298925, 598907, 436059, 372928, 366831, 452008, 432413, 451334, 187618, 463117, 819678, 202344, 225772, 245706, 657274, 227974, 181636, 286235, 177761, 496456, 194686, 281453, 559612, 306241, 438381, 1172073]",238910132565,1737513148
65,setup,redirect,3091874529229,2852729015536,3118895,49190703,147,[61],"[653, 40, 3874, 54262, 57122, 4868, 2464, 789255, 496456, 789255, 351843, 190796, 220494, 189877, 61, 298925, 207581, 61, 415588, 463117, 253906, 139191, 166822, 163967, 394961, 236544, 61, 227721, 315621, 296222, 162232, 482983, 496677, 266775, 590674, 1172073, 177761, 197005, 190953, 189741, 359223, 502103, 462996, 432264, 205289, 838589, 598907, 366831, 438381, 452008, 432413, 392290, 181636, 187618, 436059, 819678, 372928, 245706, 657274, 190935, 227974, 286235, 451334, 281453, 641486, 306241, 225772, 466535, 351202, 642770, 229172, 209406, 559612, 432841]",239123758240,698449426
66,setup,redirect,3091874529229,2852883659626,3118895,49518383,147,[61],"[653, 40, 3874, 54262, 57122, 4876, 2450, 191884, 496456, 191884, 634395, 337849, 432773, 165746, 366831, 61, 253906, 229172, 372928, 205289, 190953, 139191, 789255, 432841, 642770, 61, 187618, 359223, 296222, 61, 197005, 207581, 502103, 590674, 482983, 181636, 177761, 392290, 432264, 838589, 286235, 436059, 438381, 452008, 432413, 227974, 451334, 463117, 819678, 281453, 225772, 245706, 466535, 657274, 190935, 162232, 415588, 189877, 190796, 351202, 209406, 559612, 266775, 462996, 227721, 315621, 198377, 221722, 351843, 641486, 306241, 298925, 598907, 189741]",238979779705,351818688
67,setup,redirect,3091874528946,2852730865259,3118895,50239279,147,[61],"[653, 40, 3874, 54262, 57122, 4872, 2446, 684857, 496456, 684857, 389868, 183112, 414112, 432841, 502103, 415588, 264903, 432264, 61, 187618, 452008, 61, 598907, 191884, 165746, 221722, 390894, 337849, 789255, 351843, 190953, 189741, 266775, 227721, 415889, 634395, 286235, 177761, 253906, 298925, 205289, 197005, 207581, 359223, 366831, 392290, 838589, 462996, 819678, 372928, 438381, 432413, 190935, 227974, 181636, 451334, 463117, 436059, 190796, 306241, 225772, 245706, 466535, 657274, 229172, 209406, 281453, 559612, 641486, 432773, 198377, 189877, 351202, 642770]",239112641437,999620238
68,setup,redirect,3091874529229,2852818426316,3118895,49649455,147,[61],"[653, 40, 3874, 54262, 57122, 4890, 2450, 173808, 496456, 173808, 190935, 213861, 286235, 389868, 415889, 61, 415239, 225772, 366831, 207581, 480633, 61, 245706, 657274, 227974, 181636, 684857, 190796, 351202, 229172, 209406, 281453, 466535, 321584, 789255, 189877, 432841, 642770, 165746, 634395, 337849, 432773, 198377, 221722, 197005, 207928, 235796, 183112, 414112, 264903, 390894, 191884, 298925, 205289, 838589, 598907, 452008, 432413, 392290, 432264, 253906, 187618, 819678, 372928, 438381, 177761, 415588, 306241, 451334, 463117, 436059, 351843, 559612, 641486]",239025536233,984814285
69,get_gas_price,,2970123174216,2970123072986,47966303,47966303,0,[],[],0,5605
70,get_gas_price,,2970122971756,2970122870526,47966303,47966303,0,[],[],0,5605
71,get_gas_price,,2970122769296,2970122668066,47966303,47966303,0,[],[],0,5605
72,get_gas_price,,2970122566836,2970122461242,47966303,47966303,0,[],[],0,5605
73,get_gas_price,,2970122360012,2970122258782,47966303,47966303,0,[],[],0,5605
